Date,Time of Practice,Sex,Menstrual Cycle,Recent Fasting,Ekadashi Fast,Bhuta Shuddhi Done,Surya Kriya Done,Shambhavi Mahamudra Kriya Done,Shakti Chalana Kriya Done,Suka Kriya & AUM Chanting Done,Shoonya Meditation Done,Nadi Vibhajan (Morning),Padahastasana (Morning),Konasana (Morning),Trikonasana (Morning),Vrikshasana (Morning),Ekapada & Dwipada Utthanpadasana (Morning),Shalabhasana (Morning),Makarasana (Morning),Naukasana (Morning),Bhujangasana (Morning),Dhanurasana (Morning),Paschimottanasana (Morning),Janu Shirasasana (Morning),Matsyendrasana (Morning),Sarvangasana (4-step sequence) (Morning),Ardhamatsyasana (Morning),Spinal Twist (3 variations) (Morning),Mandukasana (Morning),Sushanti Meditation (Morning),Patangasana (Morning),Shishupalasana (Morning),Yoga Mudra (Morning),Lolasana (Morning),Uddyana Bandha (Morning),Nadi Vibhajan (Evening),Padahastasana (Evening),Konasana (Evening),Trikonasana (Evening),Vrikshasana (Evening),Ekapada & Dwipada Utthanpadasana (Evening),Shalabhasana (Evening),Makarasana (Evening),Naukasana (Evening),Bhujangasana (Evening),Dhanurasana (Evening),Paschimottanasana (Evening),Janu Shirasasana (Evening),Matsyendrasana (Evening),Sarvangasana (4-step sequence) (Evening),Ardhamatsyasana (Evening),Spinal Twist (3 variations) (Evening),Mandukasana (Evening),Sushanti Meditation (Evening),Patangasana (Evening),Shishupalasana (Evening),Yoga Mudra (Evening),Lolasana (Evening),Uddyana Bandha (Evening),Showered Before Asanas (Morning),Showered Before Asanas (Evening),General Notes
2026-07-24,06:00,Female,,none,No Fast,Yes,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ordinary practice, nothing notable."
2026-07-25,06:00,Female,,half-day,Half Fast,Yes,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26,05:30,Female,,none,No Fast,No,,Yes,,No,,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,,,3,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,No,,
2026-07-27,05:15,Female,,none,No Fast,Yes,,Yes,,No,,3,3,3,3,3,3,3,3,3,4,3,3,3,4,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-07-28,06:00,Female,,full-day,Full Fast,Yes,,Yes,,Yes,,3,3,3,3,3,4,3,3,3,3,3,3,3,3,,,,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-07-29,05:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,4,3,3,3,3,3,3,3,3,3,4,,,,3,3,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-07-30,06:00,Female,,none,No Fast,Yes,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,05:15,Female,,none,No Fast,Yes,,Yes,,Yes,,3,4,3,4,3,3,3,4,3,3,3,3,4,3,,,,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,,,,3,4,4,3,3,3,4,Yes,Yes,
2026-08-01,06:00,Female,,none,No Fast,Yes,,Yes,,Yes,,4,4,4,3,3,4,4,4,3,4,3,3,4,3,,,,4,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Very calm practice.
2026-08-02,05:30,Female,,none,No Fast,No,,Yes,,No,,3,3,2,2,3,3,2,2,2,3,3,2,3,3,,,,3,3,3,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,2,3,2,,,,3,2,3,3,3,2,3,Yes,Yes,
2026-08-03,06:00,Female,,none,No Fast,Yes,,Yes,,Yes,,4,3,3,3,4,3,3,3,4,3,3,4,3,3,,,,3,4,4,3,3,4,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,,,,4,3,3,3,3,3,4,Yes,Yes,
2026-08-04,05:30,Female,,none,No Fast,No,,Yes,,No,,2,2,1,1,1,2,2,1,2,2,2,1,2,2,,,,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Tired going in, tough practice."
2026-08-05,06:30,Female,,none,No Fast,Yes,,Yes,,No,,3,3,4,3,3,4,4,4,3,4,4,4,4,4,,,,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,,,,4,4,4,4,4,3,4,Yes,Yes,Very calm practice.
2026-08-06,05:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,4,3,4,4,3,4,4,3,3,3,3,3,4,,,,3,3,3,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Ordinary practice, nothing notable."
2026-08-07,06:00,Female,,none,No Fast,Yes,,No,,Yes,,3,3,3,3,3,3,2,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,Yes,Yes,
2026-08-08,06:00,Female,,none,No Fast,No,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-09,06:00,Female,,half-day,Half Fast,No,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,07:00,Female,,none,No Fast,No,,Yes,,No,,3,3,2,2,3,2,2,2,2,2,2,2,3,2,,,,2,3,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,,,,2,2,2,3,3,2,2,No,Yes,"Rushed session, short on time."
2026-08-11,07:00,Female,,none,No Fast,No,,Yes,,No,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3,Yes,No,
2026-08-12,05:15,Female,,full-day,Full Fast,Yes,,Yes,,Yes,,4,3,3,3,3,3,3,4,3,3,4,3,3,3,,,,4,4,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-08-13,06:00,Female,,none,No Fast,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good stretch after a long day.
2026-08-14,05:15,Female,,none,No Fast,Yes,,No,,Yes,,3,3,3,3,4,3,3,4,4,4,4,4,3,3,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-08-15,06:30,Female,,none,No Fast,Yes,,Yes,,Yes,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Tired going in, tough practice."
2026-08-16,07:00,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,2,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,,,,2,3,3,3,3,3,3,Yes,Yes,
2026-08-17,05:30,Female,,none,No Fast,Yes,,Yes,,Yes,,3,3,3,2,3,3,3,3,3,3,3,3,3,3,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
2026-08-18,06:00,Female,,none,No Fast,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
