Date,Time of Practice,Sex,Meal Status,Time of Last Meal,Recent Fasting,Bhuta Shuddhi Done,Surya Kriya Done,Shambhavi Mahamudra Kriya Done,Shakti Chalana Kriya Done,Suka Kriya & AUM Chanting Done,Shoonya Meditation Done,Nadi Vibhajan (Morning),Padahastasana (Morning),Konasana (Morning),Trikonasana (Morning),Vrikshasana (Morning),Ekapada & Dwipada Utthanpadasana (Morning),Shalabhasana (Morning),Makarasana (Morning),Naukasana (Morning),Bhujangasana (Morning),Dhanurasana (Morning),Paschimottanasana (Morning),Janu Shirasasana (Morning),Matsyendrasana (Morning),Sarvangasana (4-step sequence) (Morning),Ardhamatsyasana (Morning),Spinal Twist (3 variations) (Morning),Mandukasana (Morning),Sushanti Meditation (Morning),Patangasana (Morning),Shishupalasana (Morning),Yoga Mudra (Morning),Lolasana (Morning),Uddyana Bandha (Morning),Nadi Vibhajan (Evening),Padahastasana (Evening),Konasana (Evening),Trikonasana (Evening),Vrikshasana (Evening),Ekapada & Dwipada Utthanpadasana (Evening),Shalabhasana (Evening),Makarasana (Evening),Naukasana (Evening),Bhujangasana (Evening),Dhanurasana (Evening),Paschimottanasana (Evening),Janu Shirasasana (Evening),Matsyendrasana (Evening),Sarvangasana (4-step sequence) (Evening),Ardhamatsyasana (Evening),Spinal Twist (3 variations) (Evening),Mandukasana (Evening),Sushanti Meditation (Evening),Patangasana (Evening),Shishupalasana (Evening),Yoga Mudra (Evening),Lolasana (Evening),Uddyana Bandha (Evening),Showered Before Asanas (Morning),Showered Before Asanas (Evening),General Notes
2026-07-23,07:00,Male,Before a meal (empty stomach),06:20,No recent fast,Yes,No,No,No,Yes,Yes,2,3,1,3,3,2,3,3,2,4,3,2,3,3,2,2,4,3,3,3,2,2,2,3,3,1,3,1,1,1,2,3,2,3,3,3,4,3,2,3,3,2,3,2,3,4,1,3,Yes,Yes,Good flexibility today
2026-07-24,,Male,Before a meal (empty stomach),07:15,No recent fast,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,"Feeling unwell, skipped practice"
2026-07-25,05:05,Male,Before a meal (empty stomach),08:15,Half-day fast,No,Yes,No,Yes,Yes,Yes,3,3,4,4,2,1,3,4,4,2,3,3,4,3,3,2,2,1,3,1,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Great focus
2026-07-26,05:20,Male,Before a meal (empty stomach),07:20,No recent fast,Yes,Yes,No,Yes,Yes,No,3,3,3,3,3,4,2,3,2,3,3,2,2,3,1,3,4,4,1,2,2,4,4,4,2,3,3,2,4,4,3,3,3,4,2,4,2,4,3,2,2,2,2,3,4,3,2,4,Yes,Yes,Steady breathing throughout | Relaxing wind-down session
2026-07-27,06:20,Male,Before a meal (empty stomach),19:45,No recent fast,Yes,No,Yes,Yes,No,Yes,1,1,4,4,3,4,3,2,2,2,4,4,4,4,2,2,2,4,4,3,3,2,4,4,4,4,1,3,2,4,4,4,4,2,4,2,4,4,2,4,3,2,4,2,1,2,2,4,Yes,No,Good stretch after desk work
2026-07-28,17:20,Male,After a light snack,18:30,Full-day fast,Yes,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,3,3,3,2,3,1,4,3,3,3,3,2,1,3,2,2,4,3,2,2,Yes,No,"Skipped a few poses, low energy"
2026-07-29,17:10,Male,After a light snack,18:30,No recent fast,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,3,2,3,4,4,2,2,3,3,2,4,3,3,2,2,1,2,3,4,Yes,No,Relaxing wind-down session
2026-07-30,05:45,Male,After a light snack,19:30,No recent fast,No,Yes,Yes,Yes,No,No,3,2,4,3,1,2,4,3,4,3,4,3,4,4,3,3,3,4,3,4,3,3,2,2,2,3,3,2,3,3,2,2,4,2,2,3,2,2,3,2,3,1,4,3,3,4,1,4,Yes,No,"Rushed session, short on time | Felt great"
2026-07-31,,Male,After a light snack,21:00,Half-day fast,Yes,Yes,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Work commitment, no time"
2026-08-01,05:20,Male,Before a meal (empty stomach),21:05,No recent fast,Yes,Yes,No,No,No,No,3,4,3,3,2,3,4,2,2,2,3,2,4,2,4,3,4,3,3,1,4,2,1,4,3,4,2,1,2,2,3,3,2,3,3,2,3,3,2,4,4,2,1,2,3,4,3,3,Yes,Yes,Felt energetic | Relaxing wind-down session
